hotel_most_popular_facilities,hotel_desc_title,hotel_desc_summary,hotel_address,landmarks_nearby,restaurants_and_markets,natural_beauties,hotel_desc_detail,airports_nearby,hotel_name
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Free Parking,,Restaurant",Get the celebrity treatment with world-class service at Selman Marrakech,,"BP 24 530 Marrakech Atlas, KM 5, route d’Amizmiz, 40000 Marrakesh, Morocco","El Badi Palace,Koutoubia,Bahia Palace,Djemaa El Fna,Souk of the Medina,Marrakech Plaza,Carré Eden Shopping Center,Marrakech Museum,Medersa Ben Youssef,Majorelle Gardens",Carrefour,"
Ourika
,
Takerkoust
",,"
,
Menara Airport
",Selman Marrakech
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Free Parking",,," Km 5, Route de Tahanaout , 40000 Marrakesh, Morocco","Saadian Tombs,El Badi Palace,Menara Gardens,Koutoubia,Djemaa El Fna,Marrakech Museum,Medersa Ben Youssef,Marrakech Plaza,Carré Eden Shopping Center,Majorelle Gardens",Lalla Takerkoust,,,,Aqua Mirage Club & Aqua Parc - All Inclusive
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Free Parking,,Indoor Pool",Get the celebrity treatment with world-class service at Hôtel Du Golf Marrakech,,"Circuit de la Palmeraie BP 1488, Palmeraie, 40000 Marrakesh, Morocco","Marrakech Plaza,Djemaa El Fna,Koutoubia,Bahia Palace,Marrakesh Train Station,El Badi Palace,Moulay El Yazid Mosque,Saadian Tombs,Menara Gardens,Agdal Gardens","La Brasserie,Asian Bay,Pasta Cosy",,,,Hôtel Du Golf Marrakech
",Free WiFi,,Airport Shuttle,,Spa,,Free Parking,,Indoor Pool,,Restaurant",Get the celebrity treatment with world-class service at Four Seasons Resort Marrakech,,"1 Boulevard de la Menara, Hivernage, 40000 Marrakesh, Morocco","Koutoubia,Majorelle Gardens,Moulay El Yazid Mosque,Djemaa El Fna,Saadian Tombs,El Badi Palace,Marrakech Museum,Medersa Ben Youssef,Bahia Palace,Agdal Gardens",Souk Markets in Medina,"
Atlas Mountains
",,"
,
Menara Airport
",Four Seasons Resort Marrakech
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Non-Smoking Rooms",,,"2 Derb Moulay Abdellah Ben Hezzian Bab el Ksour, Medina, 40000 Marrakesh, Morocco","Marrakech Plaza,Majorelle Gardens,Menara Mall,Carré Eden Shopping Center,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall,Atlas Golf Marrakech","Carrfour,Jamaa Lfna","
Ourika 
",,"
,
Menara Airport
",El Fenn
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Free Parking,,Restaurant",,,"10, Arset Ben Nasser, Riad Laarouss, Medina, 40000 Marrakesh, Morocco","Moulay El Yazid Mosque,Saadian Tombs,Carré Eden Shopping Center,Menara Mall,Marrakesh Train Station,Menara Gardens,Agdal Gardens,The Montgomerie Golf Course,Palooza Land Park,AL Mazar Mall","Takerkousste,Atlas Montagne",,,,Demeures d'Orient Riad de Luxe & Spa
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Parking,,Room Service",,,"5, Derb Jdid, Derb Dabbachi, Medina, Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Majorelle Gardens,Menara Mall,Carré Eden Shopping Center,Agdal Gardens,Marrakesh Train Station,AL Mazar Mall,Menara Gardens,The Montgomerie Golf Course,Atlas Golf Marrakech","Souk,Jamaa Lafna","
Lala Takerkoust
",,"
,
Menara Airport
",Riad Maïpa
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Free Parking,,Restaurant","Get the celebrity treatment with world-class service at Dar Rhizlane, Palais Table d'hôtes & SPA",,"Avenue Jnane El Harti Hivernage, Hivernage, 40000 Marrakesh, Morocco","Djemaa El Fna,Moulay El Yazid Mosque,Souk of the Medina,Saadian Tombs,Majorelle Gardens,El Badi Palace,Marrakech Museum,Medersa Ben Youssef,Bahia Palace,Agdal Gardens",Carrefour Market,,,,"Dar Rhizlane, Palais Table d'hôtes & SPA"
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Free Parking,,Indoor Pool",Get the celebrity treatment with world-class service at Palmeraie Palace,,"Palmeraie Golf Palace & Resort Circuit De La Palmeraie, Palmeraie, 40000 Marrakesh, Morocco","Carré Eden Shopping Center,Djemaa El Fna,Bahia Palace,Koutoubia,El Badi Palace,Marrakesh Train Station,Moulay El Yazid Mosque,Saadian Tombs,Menara Gardens,Agdal Gardens",,,,,Palmeraie Palace
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Free Parking",,,"Douar Abiad, Circuit De La Palmeraie, Bp 513, Palmeraie, 40000 Marrakesh, Morocco","Koutoubia,Marrakech Plaza,El Badi Palace,Place du 16 Novembre,Carré Eden Shopping Center,Moulay El Yazid Mosque,Saadian Tombs,Marrakesh Train Station,Agdal Gardens,Menara Gardens",,,,,Les Deux Tours
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Free Parking,,Restaurant",,,"Djebel Alakhdar - Bab Doukkala, Medina, 40 000 Marrakesh, Morocco","Saadian Tombs,Carré Eden Shopping Center,El Badi Palace,Menara Mall,Bahia Palace,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall",La Place Jemaa El Fna,"
Lala Takerkoust
",,"
,
Menara Airport
",Hôtel & Ryads Barrière Le Naoura
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Free Parking,,Indoor Pool",,,"26 Rue De La Koutoubia, Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Marrakech Plaza,Menara Mall,Majorelle Gardens,Carré Eden Shopping Center,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall",Lalla Takerkoust Lake,,,,Les Jardins De La Koutoubia
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Free Parking",,,"Km 4, Route d'Amezmiz, 40000 Marrakesh, Morocco","Saadian Tombs,Moulay El Yazid Mosque,El Badi Palace,Koutoubia,Marrakech Plaza,Djemaa El Fna,Carré Eden Shopping Center,Marrakech Museum,Medersa Ben Youssef,Majorelle Gardens",,,,,Eden Andalou Aquapark & SPA - All Inclusive
",Free WiFi,,Airport Shuttle (free),,Spa,,Family Rooms,,Free Parking,,Indoor Pool",Get the celebrity treatment with world-class service at Es Saadi Marrakech Resort - Palace,,"Rue Ibrahim El Mazini Hivernage, Hivernage, 40000 Marrakesh, Morocco","Moulay El Yazid Mosque,Saadian Tombs,Marrakesh Train Station,Menara Gardens,El Badi Palace,Marrakech Museum,Majorelle Gardens,Medersa Ben Youssef,Bahia Palace,Agdal Gardens","la cour des lions ,largon et jardin,Lobby Bar,Le saadi,Piano Bar",,,,Es Saadi Marrakech Resort - Palace
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Free Parking,,Indoor Pool",Get the celebrity treatment with world-class service at Savoy Le Grand Hotel Marrakech,,"Avenue de la ménara BP 528, Marrakech, Hivernage, 40000 Marrakesh, Morocco","Carré Eden Shopping Center,Moulay El Yazid Mosque,Saadian Tombs,Djemaa El Fna,El Badi Palace,Majorelle Gardens,Marrakech Museum,Bahia Palace,Medersa Ben Youssef,Agdal Gardens",,,,,Savoy Le Grand Hotel Marrakech
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Free Parking,,Restaurant",Get the celebrity treatment with world-class service at La Sultana Marrakech,,"403 Rue de La Kasbah, Kasbah, 40000 Marrakesh, Morocco","Agdal Gardens,Place du 16 Novembre,Marrakech Plaza,AL Mazar Mall,The Montgomerie Golf Course,Carré Eden Shopping Center,Majorelle Gardens,Menara Gardens,Marrakesh Train Station,Atlas Golf Marrakech",,,,,La Sultana Marrakech
",Free WiFi,,Airport Shuttle,,Spa,,Parking,,Restaurant,,Non-Smoking Rooms",,,"69 Derb Tizougarine, Medina, 40000 Marrakesh, Morocco","Moulay El Yazid Mosque,Saadian Tombs,Carré Eden Shopping Center,Menara Mall,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall,Palooza Land Park",LALLA TAKELKOUST,,,,Riad Luciano & Spa
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Free Parking,,Restaurant",Get the celebrity treatment with world-class service at Hivernage Hotel & Spa,,"Rue Des Temples, Hivernage, 40000 Marrakesh, Morocco","El Badi Palace,Carré Eden Shopping Center,Marrakech Museum,Medersa Ben Youssef,Bahia Palace,Marrakesh Train Station,Majorelle Gardens,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens","Del Café,Jouhara,Namazake,Louis Vuitton",,,,Hivernage Hotel & Spa
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking",,,"Rue Oued EL Makhazine, Angle Imam Chafai, (en face du Club Royal de Tennis), Gueliz, 40000 Marrakesh, Morocco","Majorelle Gardens,Koutoubia,Djemaa El Fna,Menara Gardens,Marrakech Museum,Medersa Ben Youssef,Moulay El Yazid Mosque,Saadian Tombs,El Badi Palace,Agdal Gardens",carre eden,,,,2Ciels Boutique Hôtel
",Free WiFi,,Airport Shuttle,,Family Rooms,,Parking,,Non-Smoking Rooms,,Grounds",,,"80 Derb El Cadi, Azbeth, Medina, 40000 Marrakesh, Morocco","Marrakech Plaza,Place du 16 Novembre,Menara Mall,Carré Eden Shopping Center,Marrakesh Train Station,Agdal Gardens,Menara Gardens,The Montgomerie Golf Course,AL Mazar Mall,Atlas Golf Marrakech","NOMAD,PLACE DES EPICES",,,,Riad Hizad
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking",,,"128, Riad Zitoune Lakdim Medina, Medina, 40040 Marrakesh, Morocco","Place du 16 Novembre,Marrakech Plaza,Agdal Gardens,Majorelle Gardens,Carré Eden Shopping Center,AL Mazar Mall,The Montgomerie Golf Course,Marrakesh Train Station,Menara Gardens,Atlas Golf Marrakech","dar essalam/ chahraman,cosibar,essadouni,mallah",,,,Riad Nesma Suites & Spa
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking",,,"43, Derb Moulay Abdellah Ben Hssein Laksour, Medina, 40000 Marrakesh, Morocco","Marrakech Plaza,Menara Mall,Majorelle Gardens,Carré Eden Shopping Center,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall,Atlas Golf Marrakech","SOUK MEDINA,JEEMA EL FNA","
Atlas
,
BARRAGE TAKERKOUST
",,"
,
Menara Airport
",Riad Palais Sebban
",Outdoor Pool,,Free WiFi,,Airport Shuttle (free),,Spa,,Family Rooms,,Free Parking",,,"Route Du Golf Royal, 40000 Marrakesh, Morocco","Souk of the Medina,Koutoubia,Marrakech Museum,Medersa Ben Youssef,Place du 16 Novembre,Marrakech Plaza,Majorelle Gardens,Carré Eden Shopping Center,Menara Gardens,Marrakesh Train Station",,,,,"Mandarin Oriental, Marrakech"
",Outdoor Pool,,Free WiFi,,Spa,,Family Rooms,,Parking,,Restaurant",Get the celebrity treatment with world-class service at Sofitel Marrakech Palais Imperial,,"Rue Haroun Errachid, Hivernage, 40000 Marrakesh, Morocco","El Badi Palace,Carré Eden Shopping Center,Marrakech Museum,Marrakesh Train Station,Medersa Ben Youssef,Bahia Palace,Menara Gardens,Majorelle Gardens,The Montgomerie Golf Course,Agdal Gardens","Les souqs,Jemma El Fna,Le comptoir,Lotus club,Carrefour La belle vie",,,,Sofitel Marrakech Palais Imperial
",Outdoor Pool,,Free WiFi,,Airport Shuttle (free),,Spa,,Family Rooms,,Room Service",,,"2, Derb El Farnatchi, Medina, 40000 Marrakesh, Morocco","Marrakech Plaza,Place du 16 Novembre,Carré Eden Shopping Center,Menara Mall,Marrakesh Train Station,Agdal Gardens,Menara Gardens,The Montgomerie Golf Course,AL Mazar Mall,Palooza Land Park",,,,,Riad Farnatchi
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking",,,"32 Derb Sidi Ahmed ou Moussa, Bab Doukkala,  Médina , Medina, 40000 Marrakesh, Morocco","Moulay El Yazid Mosque,Bahia Palace,Saadian Tombs,El Badi Palace,Menara Mall,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,Palooza Land Park",,,,,Riad Olema et Spa
",Outdoor Pool,,Free WiFi,,Airport Shuttle (free),,Spa,,Family Rooms,,Free Parking",Get the celebrity treatment with world-class service at Tigmiza Suites & Pavillons,,"Km 3, Bab Atlas, Palmeraie, 40000 Marrakesh, Morocco","Moulay El Yazid Mosque,Saadian Tombs,Palooza Land Park,Marrakech Plaza,Place du 16 Novembre,Carré Eden Shopping Center,Al Maaden Golf Course,Agdal Gardens,Marrakesh Train Station,Menara Gardens","Atacadaw,Le Blokk,Lotus Club",,,,Tigmiza Suites & Pavillons
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Free Parking,,Restaurant",Get the celebrity treatment with world-class service at Al Maaden Villa Hotel & Spa,,"Sidi Youssef Ben Ali 40 000, 40012 Marrakesh, Morocco","Souk of the Medina,Marrakech Museum,Medersa Ben Youssef,Koutoubia,Place du 16 Novembre,Marrakech Plaza,Majorelle Gardens,Carré Eden Shopping Center,Menara Gardens,Marrakesh Train Station",,,,,Al Maaden Villa Hotel & Spa
",Free WiFi,,Airport Shuttle,,Parking,,Restaurant,,Non-Smoking Rooms,,Room Service",,,"151 et 151 bis derb Jdid, Dabachi Médina, Medina, 40000 Marrakesh, Morocco","Marrakech Plaza,Place du 16 Novembre,Menara Mall,Carré Eden Shopping Center,Agdal Gardens,Marrakesh Train Station,AL Mazar Mall,Menara Gardens,The Montgomerie Golf Course,Atlas Golf Marrakech","MARJANE,SOUKS,LE SALAMA,LE JARDIN,LATITUDE 31,NOMAD,SKY BAR WOW,ACIMA GUELIZ,BUDDHA BAR","
LALLA TAKERKOUST
,
MOYEN ATLAS / MONT TOUBKAL
,
L'OURIKA (VALLEE DE)
",,"
,
Menara Airport
",Riad Jardin Des Sens
",Outdoor Pool,,Free WiFi,,Family Rooms,,Free Parking,,Indoor Pool,,Non-Smoking Rooms",Get the celebrity treatment with world-class service at Kenzi Club Agdal Medina - All Inclusive,,"Avenue Mohamed VI Zone Touristique Agdal, 40000 Marrakesh, Morocco","Bahia Palace,Koutoubia,Djemaa El Fna,Souk of the Medina,Menara Gardens,Marrakech Museum,Medersa Ben Youssef,Marrakech Plaza,Carré Eden Shopping Center,Majorelle Gardens","Carrefour,Al Mazar,Chrystal,Pacha","
Barrage Lalla Takerkouste
,
OURIKA
",,"
,
Menara Airport
",Kenzi Club Agdal Medina - All Inclusive
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking,,Non-Smoking Rooms",,,"54, Diour Jdad, Zaouia Abbassia, Medina, 40000 Marrakesh, Morocco","Bahia Palace,El Badi Palace,Moulay El Yazid Mosque,Saadian Tombs,Marrakesh Train Station,Menara Mall,Menara Gardens,Palooza Land Park,The Montgomerie Golf Course,Agdal Gardens","Aswak Assalam,Marché de Bab Doukkala,Acima Majorelle,Epicerie de quartier,Dar Yacout,Dar Zellij,lattitude ""31""","
Lalla Takerkoust
,
Atlas 
",,"
,
Menara Airport
",Riad Charaï Suites & Spa
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Restaurant,,Fitness Center",Get the celebrity treatment with world-class service at Les Jardins De La Médina,,"21 Derb Chtouka, Kasbah, 40000 Marrakesh, Morocco","Menara Mall,AL Mazar Mall,The Montgomerie Golf Course,Place du 16 Novembre,Marrakech Plaza,Menara Gardens,Carré Eden Shopping Center,Majorelle Gardens,Atlas Golf Marrakech,Marrakesh Train Station",Carrefour,,,,Les Jardins De La Médina
",Free WiFi,,Airport Shuttle,,Spa,,Parking,,Restaurant,,Non-Smoking Rooms",,,"138 Arsat Moulay Touala ( Moulay Moussa) Derb Laafou médina , Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Marrakech Plaza,Majorelle Gardens,Agdal Gardens,Carré Eden Shopping Center,AL Mazar Mall,The Montgomerie Golf Course,Marrakesh Train Station,Menara Gardens,Atlas Golf Marrakech","TANGIA,KOSY BAR,MELLAH","
LALLA TAKELKOUST
",,"
,
Menara Airport
",Hotel & Spa Riad El Walaa
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Indoor Pool,,Restaurant,,Non-Smoking Rooms",,,"Derb Tizougarine 74, Medina, 40000 Marrakesh, Morocco","Moulay El Yazid Mosque,Saadian Tombs,Carré Eden Shopping Center,Menara Mall,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall,Palooza Land Park","Carrefour Market,aux fleurs,dar el bacha,Café Arabe","
takerkoust
,
oukaimeden
",,"
,
Menara Airport
",Riad Farhan
",Free WiFi,,Airport Shuttle,,Parking,,Non-Smoking Rooms,,Grounds",,,"4 et 5 Derb Ouartani Mouassine , Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Majorelle Gardens,Carré Eden Shopping Center,Menara Mall,Marrakesh Train Station,Menara Gardens,Agdal Gardens,The Montgomerie Golf Course,AL Mazar Mall,Atlas Golf Marrakech",,,,,Riad Lyla
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Restaurant,,Non-Smoking Rooms",,,"52 Derb El Arsa Kenaria, Medina, 40000 Marrakesh, Morocco","Marrakech Plaza,Menara Mall,Majorelle Gardens,Carré Eden Shopping Center,Agdal Gardens,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,AL Mazar Mall,Atlas Golf Marrakech",,,,,Riad Le Rihani
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking,,Indoor Pool",,,"Riad Zitoune Lakdim, N 112, Medina, Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Marrakech Plaza,Agdal Gardens,Majorelle Gardens,Carré Eden Shopping Center,AL Mazar Mall,The Montgomerie Golf Course,Marrakesh Train Station,Menara Gardens,Atlas Golf Marrakech","Almazar centre commercial - Carrefour Marrakech,Azar restaurant marrakech,Ksybar,Souk Semmarine- old market","
barrage lalla takerkoust
",,"
,
Menara Airport
",Dar Anika
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking,,Restaurant",,,"Sidi Ben Sliman, Derb Driba Jdida, N° 1, Medina, 40000 Marrakesh, Morocco","Bahia Palace,El Badi Palace,Moulay El Yazid Mosque,Saadian Tombs,Menara Mall,Marrakesh Train Station,Menara Gardens,Palooza Land Park,The Montgomerie Golf Course,Agdal Gardens",,,,,Ryad Dyor
",Outdoor Pool,,Free WiFi,,Pet Friendly",,,"42 Quartier La Ksour, Medina, 40000 Marrakesh, Morocco","Marrakech Plaza,Majorelle Gardens,Menara Mall,Carré Eden Shopping Center,Marrakesh Train Station,Menara Gardens,Agdal Gardens,The Montgomerie Golf Course,AL Mazar Mall,Atlas Golf Marrakech","Point Bar,Rouge Marrakech,Souk de la Medina,Jemma El Fna",,,,Riad R.K
",Free WiFi,,Airport Shuttle,,Spa,,Free Parking,,Restaurant,,Non-Smoking Rooms",,,"34 Derb L'Hotel Bab Doukkala, Medina, 40000 Marrakesh, Morocco","Moulay El Yazid Mosque,Menara Mall,Saadian Tombs,Bahia Palace,El Badi Palace,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Palooza Land Park,Agdal Gardens",Java el fan,,,,Riad Kniza
",Free WiFi,,Airport Shuttle (free),,Spa,,Family Rooms,,Free Parking,,Restaurant",,,"28 Derb Arset Aouzal Medina, Medina, 40000 Marrakesh, Morocco","Bahia Palace,Saadian Tombs,El Badi Palace,Carré Eden Shopping Center,Menara Mall,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,AL Mazar Mall","CAFE DE FRANCE,SOUK de BAB DOUKKALA,SOUK de BAB DOUKKALA,MAISON ARABE","
LE MOYEN ATLAS
,
Lake
,
LA VALLEE DE L'OURIKA
",,"
,
Menara Airport
",Riad Jnane d'Ô
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking",,,"Diour Saboune, Derb Sidi Makhlouf n°16, Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Saadian Tombs,Carré Eden Shopping Center,Menara Mall,Marrakesh Train Station,Menara Gardens,Agdal Gardens,The Montgomerie Golf Course,Palooza Land Park,AL Mazar Mall",,,,,Riad Nashira & Spa
",Free WiFi,,Airport Shuttle,,Indoor Pool,,Restaurant",,,"37 Derb  MANCHOURA , Mellah, 40000 Marrakesh, Morocco","Agdal Gardens,Place du 16 Novembre,Marrakech Plaza,Majorelle Gardens,AL Mazar Mall,Carré Eden Shopping Center,The Montgomerie Golf Course,Marrakesh Train Station,Menara Gardens,International Automobile Circuit Moulay El Hassan","Mellah,Bab Mellah,kosybar,france",,,,Dar Beija
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Free Parking,,Restaurant",Get the celebrity treatment with world-class service at Royal Palm Beachcomber Morocco,,"Route D'Amizmiz, 24700 Marrakesh, Morocco","Saadian Tombs,Moulay El Yazid Mosque,El Badi Palace,Koutoubia,Marrakech Plaza,Djemaa El Fna,Carré Eden Shopping Center,Marrakech Museum,Medersa Ben Youssef,Majorelle Gardens","Carrefour Al Mazar,Jad Mahal,Le Palace,Lotus,Nomad,Jamaa El Fna","
Lalla Takerkoust
",,"
,
Menara Airport
",Royal Palm Beachcomber Morocco
",Free WiFi,,Airport Shuttle,,Family Rooms,,Parking,,Indoor Pool,,Restaurant",,,"58, Derb Touareg - Kasbah , 40000 Marrakesh, Morocco","Agdal Gardens,Place du 16 Novembre,Marrakech Plaza,Majorelle Gardens,AL Mazar Mall,Carré Eden Shopping Center,The Montgomerie Golf Course,Marrakesh Train Station,Menara Gardens,Atlas Golf Marrakech",Lalla Takerkoust,,,,Riad Dar Alfarah
",Free WiFi,,Spa,,Family Rooms,,Free Parking,,Indoor Pool,,Fitness Center",Get the celebrity treatment with world-class service at Les Jardins de l'Agdal Hotel & Spa,,"Avenue Mohammed  VI  zone  touristique de l'agdal, Agdal, 40000 Marrakesh, Morocco","Koutoubia,Djemaa El Fna,Souk of the Medina,Menara Gardens,Marrakech Museum,Medersa Ben Youssef,Marrakech Plaza,Marrakesh Train Station,Carré Eden Shopping Center,Majorelle Gardens","EL Mazar / Carrefour,EL Mazar / Carrefour",,,,Les Jardins de l'Agdal Hotel & Spa
",Free WiFi,,Airport Shuttle,,Parking,,Restaurant,,Non-Smoking Rooms,,Grounds",,,"63 Rue Sidi El Yamani, Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Majorelle Gardens,Menara Mall,Carré Eden Shopping Center,Marrakesh Train Station,Menara Gardens,Agdal Gardens,The Montgomerie Golf Course,AL Mazar Mall,Atlas Golf Marrakech","la table du palais,Souks,La Terrasse des épices,Le Nomade,Djemaa el Fnaa,Café de France",,,,Palais Riad Lamrani
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Restaurant,,Non-Smoking Rooms",,,"35, Derb Chorfa Lakbir Mouassine, Medina, 40008 Marrakesh, Morocco","Place du 16 Novembre,Majorelle Gardens,Carré Eden Shopping Center,Menara Mall,Marrakesh Train Station,Menara Gardens,Agdal Gardens,The Montgomerie Golf Course,AL Mazar Mall,Atlas Golf Marrakech",Souks,"
Ourika Valley
,
Atlas Mountains
",,"
,
Menara Airport
",Dar Justo
",Free WiFi,,Airport Shuttle,,Parking,,Non-Smoking Rooms",,,"49 Kaa El Houma, Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Marrakech Plaza,Agdal Gardens,Majorelle Gardens,Carré Eden Shopping Center,AL Mazar Mall,The Montgomerie Golf Course,Marrakesh Train Station,Menara Gardens,Atlas Golf Marrakech","Supermarket,Restaurant,Cafe/bar,Market","
PALAIS BAHIA
,
PLACE DES FERBANTIERS
,
PALAIS BADI
",,"
,
Menara Airport
",Riad Houma
",Outdoor Pool,,Free WiFi,,Spa,,Free Parking,,Indoor Pool,,Fitness Center",,,"Avenue Mohamed VI, Hivernage, 40000 Marrakesh, Morocco","Koutoubia,Majorelle Gardens,Djemaa El Fna,Moulay El Yazid Mosque,Saadian Tombs,Marrakech Museum,El Badi Palace,Medersa Ben Youssef,Bahia Palace,Agdal Gardens",la belle vie carrefour market,,,,Grand Mogador Menara
",Outdoor Pool,,Free WiFi,,Airport Shuttle,,Restaurant,,Non-Smoking Rooms,,Room Service",,,"Place Jemaa El Fna, entrée Riad Zitoun Lakdim, Medina, 40000 Marrakesh, Morocco","Place du 16 Novembre,Marrakech Plaza,Menara Mall,Majorelle Gardens,Carré Eden Shopping Center,Marrakesh Train Station,Agdal Gardens,Menara Gardens,The Montgomerie Golf Course,AL Mazar Mall",Taj'in darna,,,,Hôtel & Ryad Art Place Marrakech
",Free WiFi,,Airport Shuttle,,Parking,,Restaurant,,Non-Smoking Rooms,,Room Service",,,"53/54 derb el halfaoui, Dar el Bacha, Medina, 40000 Marrakesh, Morocco","Carré Eden Shopping Center,Moulay El Yazid Mosque,El Badi Palace,Saadian Tombs,Menara Mall,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,Palooza Land Park","DAR MOHA,LA TERRASSE DES EPICES,LA TABLE DU PALAIS","
BARRAGE LALLA TAKERKOUST
",,"
,
Menara Airport
",Riad Chergui
",Free WiFi,,Airport Shuttle,,Indoor Pool,,Non-Smoking Rooms,,Room Service",,,"29, Derb Ben Allal Ben Salah, Medina, 40000 Marrakesh, Morocco","Marrakech Plaza,Place du 16 Novembre,Menara Mall,Carré Eden Shopping Center,Marrakesh Train Station,Agdal Gardens,Menara Gardens,AL Mazar Mall,The Montgomerie Golf Course,Atlas Golf Marrakech","CARREFOUR,MERRAKCHI,SEMMARINE,KOSYBAR","
TAKERKOUST
",,"
,
Menara Airport
",Riad Aubrac
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Restaurant,,Non-Smoking Rooms",,,"Derb Sidi Bouamar, Medina, 41000 Marrakesh, Morocco","Carré Eden Shopping Center,Moulay El Yazid Mosque,El Badi Palace,Saadian Tombs,Menara Mall,Marrakesh Train Station,Menara Gardens,The Montgomerie Golf Course,Agdal Gardens,Palooza Land Park","Souks,La Maison Arabe","
Takerkoust
",,"
,
Menara Airport
",Riad Utopia Suites And Spa
",Free WiFi,,Airport Shuttle,,Spa,,Family Rooms,,Parking,,Restaurant",,,"105, Derb Jamaâ Derb Dabachi, Medina, 40000 Marrakesh, Morocco","Marrakech Plaza,Majorelle Gardens,Menara Mall,Carré Eden Shopping Center,Agdal Gardens,Marrakesh Train Station,Menara Gardens,AL Mazar Mall,The Montgomerie Golf Course,Atlas Golf Marrakech","souks,Pepe Nero,Place Jema El Fna,Marrackchi,café France,chegrouni",,,,Riad Itrane
",Outdoor Pool,,Free WiFi,,Spa,,Family Rooms,,Restaurant,,Fitness Center",Get the celebrity treatment with world-class service at Atlas Medina & Spa,,"Avenue Hassan 1Er, Hivernage, 40000 Marrakesh, Morocco","Koutoubia,Majorelle Gardens,Djemaa El Fna,Moulay El Yazid Mosque,Saadian Tombs,Marrakech Museum,El Badi Palace,Medersa Ben Youssef,Bahia Palace,Agdal Gardens",Menara Mall,,,,Atlas Medina & Spa
